楷書編號	釋義	部首	字體編號
1	《說文》：“一，惟初太始，道立於一，造分天地，化成萬物。弌，古文一。”	說文‧一部	&27.4E00;
19897	《說文》：“丨，上下通也。引而上行，讀若囟；引而下行，讀若𨓆。”	說文‧丨部	&27.F510;
19998	《說文》：“厷，臂上也。从又，从古文。厶，古文厷，象形。肱，厷或从肉。”	說文‧又部	&27.F600;
19983	《說文》：“丶，有所絕止，丶而識之也。”	說文‧丶部	&27.F4DB;
19996	《說文》：“𡿨，水小流也。《周禮》：‘匠人為溝洫，耜廣五寸，二耜為耦，一耦之伐，廣尺深尺謂之𡿨。’倍𡿨謂之遂，倍遂曰溝，倍溝曰洫，倍洫曰巜。甽，古文𡿨从田，从川；畎，篆文𡿨从田，犬聲。六畎為一畂。”	說文‧𡿨部	&27.F69C;
20001	《說文》：“乙，玄鳥也。齊魯謂之乙，取其鳴自呼，象形。鳦，乙或从鳥。”	說文‧𠃉部	&27.F488;
19919	《說文》：“丿，右戾也。象左引之形。”	說文‧丿部	&27.F4E1;
19984	《說文》：“乀，左戾也。从反丿，讀與弗同。”	說文‧乀部	&27.F472;
20142	《說文》：“𠂆，抴也，明也。象抴引之形。”	說文‧𠂆部	&27.F52C;
20000	《說文》：“乁，流也。从反𠂆，讀若移。”	說文‧𠂆部	&27.F43A;
19898	《說文》：“亅，鉤逆者謂之亅。象形。讀若橜。”	說文‧亅部	&27.F46C;
19997	《說文》：“𠄌，鉤識也。从反亅。讀若捕鳥罬。”	說文‧亅部	&27.F486;
19995	《說文》：“𠃊，匿也。象𨒅曲隱蔽形。讀若隱。”	說文‧𠃊部	&27.F5B2;
2	《說文》：“乙，象春艸木冤曲而出，陰氣尚彊，其出乙乙也。與丨同意，乙承甲，象人頸。”	說文‧乙部	&27.4E59;
24	《說文》：“丄，高也。此古文上，指事也。上，篆文丄。”	說文古文	&27.F3F2;
24	《說文》：“丄，高也。此古文上，指事也。上，篆文丄。”	說文古文	&27.F3F2;
22	《說文》：“丅，底也。指事。下，篆文丅。”	說文古文	&27.F407;
22	《說文》：“丅，底也。指事。下，篆文丅。”	說文古文	&27.F407;
12	《說文》：“八，別也。象分別相背之形。”	說文‧八部	&27.516B;
5404	《說文》：“凵，張口也。象形。”	說文‧凵部	&27.51F5;
20003	《說文》：“丩，相糾繚也。一曰瓜瓠結丩起。象形。”	說文‧丩部	&27.F51B;
18	《說文》：“十，數之具也。一為東西，丨為南北，則四方中央備矣。”	說文‧十部	&27.5341;
20	《說文》：“又，手也，象形。三指者，手之列多略不過三也。”	說文‧又部	&27.53C8;
19787	《說文》：“𠂇，𠂇手也。象形”	說文‧𠂇部	&27.F4F9;
21471	《說文》：“几，鳥之短羽飛𠘧𠘧也。象形。”	說文‧𠘧部	&27.F489;
19	《說文》：“卜，灼剥龜也。象灸龜之形。一曰象龜兆之從橫也。𠁡，古文卜。”	說文‧卜部	&27.535C;
19	《說文》：“卜，灼剥龜也。象灸龜之形。一曰象龜兆之從橫也。𠁡，古文卜。”	說文‧卜部	&27.535C;
6382	《說文》：“殄，盡也。从歺，㐱聲。𠂈，古文殄如此。”	說文‧歹部	&27.6B84;
6382	《說文》：“殄，盡也。从歺，㐱聲。𠂈，古文殄如此。”	說文‧歹部	&27.6B84;
14	《說文》：“刀，兵也。象形。”	說文‧刀部	&27.5200;
5	《說文》：“ 乃，曳詞之難也。象气之出難。𢎧，古文乃。𠄕，籀文乃。”	說文‧乃部	&27.4E43;
5	《說文》：“ 乃，曳詞之難也。象气之出難。𢎧，古文乃。𠄕，籀文乃。”	說文‧乃部	&27.4E43;
5	《說文》：“ 乃，曳詞之難也。象气之出難。𢎧，古文乃。𠄕，籀文乃。”	說文‧乃部	&27.4E43;
19788	《說文》：“丂，气欲舒出，勹上礙於一也。丂，古文以為亏字，又以為巧字。”	說文‧丂部	&27.F545;
19799	《說文》：“𠀀，反丂也。讀若呵。”	說文‧丂部	&27.F2FA;
21789	《說文》：“𠙴，𠙴盧，飯器。𥬔，𠙴或从竹，去聲。”	說文‧𠙴部	&27.F48A;
11	《說文》：“入，內也。象从上俱下也。”	說文‧入部	&27.5165;
20458	《說文》：“冂，邑外謂之郊，郊外謂之野，野外謂之林，林外謂之冂，象遠界也。冋，古文冂。从囗，象國邑。坰，冋或从土。”	說文‧冂部	&27.F4E0;
20009	《說文》：“𢎘，嘾也。艸木之華未發圅然，象形。”	說文‧𢎘部	&27.F334;
21743	《說文》：“冖，覆也。从一下垂也。”	說文‧冖部	&27.F4DA;
9	《說文》：“人，天地之性最貴者也。此籀文，象臂脛之形。”	說文‧人部	&27.4EBA;
21387	《說文》：“𠤎，變也。从到人。”	說文‧𠤎部	&27.F532;
17	《說文》：“匕，相與比叙也。从反人。匕，亦所以用比取飯。一名柶。”	說文‧匕部	&27.5315;
10	《說文》：“儿，仁人也。古文奇字人也。象形。孔子曰：在人下，故詰屈。”	說文‧儿部	&27.513F;
21830	《說文》：“卪，瑞信也。守國者用玉卪，守都鄙者用角卪，使山邦者用虎卪，土邦者用人卪，澤邦者用龍卪，門關者用符卪，貨賄用璽卪，道路用旌卪。象相合之形。”	說文‧卩部	&27.F4F4;
21327	《說文》：“勹，裹也。象人曲形，有所包裹。”	說文‧勹部	&27.F4F1;
22438	《說文》：“厶，姦衺也。韓非曰：‘蒼頡作字，自營為厶。’”	說文‧厶部	&27.F4D8;
5406	《說文》：“厂，山石之厓巖，人可居。象形。厈，籀文从干。”	說文‧厂部	&27.5382;
20008	《說文》：“巜，水流澮澮也，方百里為巜，廣二尋，深二仞。”	說文‧巜部	&27.F3D8;
20504	《說文》：“仌，凍也。象水凝之形。”	說文‧仌部	&27.F083;
5402	《說文》：“乂，芟艸也。从丿，从乁相交。刈，乂或从刀。”	說文‧丿部	&27.4E42;
20313	《說文》：“匸，衺徯，有所俠藏也。从𠃊，上有一覆之。讀與傒同。”	說文‧匸部	&27.F46D;
5405	《說文》：“匚，受物之器。象形。讀若方。𠥓，籀文匚。”	說文‧匚部	&27.531A;
5405	《說文》：“匚，受物之器。象形。讀若方。𠥓，籀文匚。”	說文‧匚部	&27.531A;
8	《說文》：“二，地之數也。从偶一。弍，古文。”	說文‧二部	&27.4E8C;
