小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary),小篆部件,楷書部件
1,['1'],27.4E00,一,b'\xe4\xb8\x80',一,一
1,['23801'],27.E000,,b'\xee\x80\x80',一一一入土囗勿阜≠,一一一日邑金
2,['87'],27.5143,元,b'\xe5\x85\x83',一一儿,二儿
3,['112'],27.5929,天,b'\xe5\xa4\xa9',一大,一大
4,['159'],27.4E15,丕,b'\xe4\xb8\x95',一不,一不
5,['330'],27.540F,吏,b'\xe5\x90\x8f',一又口,吏
6,['24'],27.F3F2,,b'\xef\x8f\xb2',,一
6,['24'],27.4E0A,上,b'\xe4\xb8\x8a',上,一卜
7,['1212'],27.5E1D,帝,b'\xe5\xb8\x9d',朿,儿巾
7,['1212'],27.E001,,b'\xee\x80\x81',,一一一日水金
8,['1672'],27.65C1,旁,b'\xe6\x97\x81',方，,儿方
8,['1672'],27.E002,,b'\xee\x80\x82',,人日豕金
8,['1672'],27.E003,,b'\xee\x80\x83',一入入土口囗矛≠,儿口矛金
8,['8454'],27.96F1,雱,b'\xe9\x9b\xb1',雱,方雨
9,['22'],27.F407,,b'\xef\x90\x87',,一
9,['22'],27.4E0B,下,b'\xe4\xb8\x8b',下,一卜
10,['280'],27.793A,示,b'\xe7\xa4\xba',、,示
10,['280'],27.F368,,b'\xef\x8d\xa8',,示
11,['6950'],27.795C,祜,b'\xe7\xa5\x9c',祜 = 十口、,十口示
12,['4780'],27.79AE,禮,b'\xe7\xa6\xae',囗、⊙↑,示曲豆
12,['4780'],27.E004,,b'\xee\x80\x84',一入土≠焦,火隹金
13,['4562'],27.79A7,禧,b'\xe7\xa6\xa7',口囗屮、⊙,十口示豆
14,['10065'],27.799B,禛,b'\xe7\xa6\x9b',禛 = 人八目、,十儿示
15,['3160'],27.797F,祿,b'\xe7\xa5\xbf',彔、,水示
16,['10062'],27.79A0,禠,b'\xe7\xa6\xa0',虍、←,厂儿示虍
17,['3570'],27.798E,禎,b'\xe7\xa6\x8e',卜貝、,卜示貝
18,['2288'],27.7965,祥,b'\xe7\xa5\xa5',﹗、,示羊
19,['1390'],27.7949,祉,b'\xe7\xa5\x89',止、,止示
20,['3571'],27.798F,福,b'\xe7\xa6\x8f',囗、︴↘,一口示田
21,['1797'],27.7950,祐,b'\xe7\xa5\x90',又口、,又口示
22,['3159'],27.797A,祺,b'\xe7\xa5\xba',其、,儿示
22,['37841'],27.E005,,b'\xee\x80\x85',一入又土酉∵≠,儿寸酉金
23,['1803'],27.7957,祗,b'\xe7\xa5\x97',祗 = 一、﹎,一氏示
24,['9482'],27.7994,禔,b'\xe7\xa6\x94',一一囗止、,一止日示
25,['1801'],27.795E,神,b'\xe7\xa5\x9e',、,示申
26,['1392'],27.7947,祇,b'\xe7\xa5\x87',、﹎,氏示
27,['1796'],27.7955,祕,b'\xe7\xa5\x95',八、﹍,示必
28,['4725'],27.9F4B,齋,b'\xe9\xbd\x8b',齊、,小齊
28,['61427'],27.E006,,b'\xee\x80\x86',一入土火≠,儿大小日金
29,['9479'],27.798B,禋,b'\xe7\xa6\x8b',禋 = 土西、,土示襾
29,['65171'],27.E007,,b'\xee\x80\x87',,土口糸金
30,['2290'],27.796D,祭,b'\xe7\xa5\xad',又肉、,又月示
31,['1038'],27.7940,祀,b'\xe7\xa5\x80',巳、,己示
31,['37842'],27.E008,,b'\xee\x80\x88',,力火火金
32,['7539'],27.7961,祡,b'\xe7\xa5\xa1',祡 = 人止、,匕止示
32,['37786'],27.E009,,b'\xee\x80\x89',一卜入又土囗﹗／≠↘,口子金
33,['12865'],27.79B7,禷,b'\xe7\xa6\xb7',禷 = 一儿犬自米、,犬示米頁
34,['7536'],27.796A,祪,b'\xe7\xa5\xaa',厂人、,厂人示
35,['6947'],27.7954,祔,b'\xe7\xa5\x94',一人又、,人寸示
36,['1800'],27.7956,祖,b'\xe7\xa5\x96',几、∞,示且
37,['37844'],27.E00A,,b'\xee\x80\x8a',一一入土口囗戊西／＿≠↘,十日襾金
37,['6490'],27.794A,祊,b'\xe7\xa5\x8a',方、,方示
38,['8186'],27.7970,祰,b'\xe7\xa5\xb0',祰 = 口牛、,口牛示
39,['6949'],27.794F,祏,b'\xe7\xa5\x8f',祏 = 厂、〞,示石
40,['37679'],27.E00B,,b'\xee\x80\x8b',一人人入土口﹙﹙≠♀,日金
41,['1798'],27.7960,祠,b'\xe7\xa5\xa0',祠 = 一口、‘,一厂口示
42,['6095'],27.793F,礿,b'\xe7\xa4\xbf',勺、,一示
43,['9477'],27.7998,禘,b'\xe7\xa6\x98',禘 = 朿、,儿巾示
44,['7538'],27.796B,祫,b'\xe7\xa5\xab',一入口、,一人口示
45,['8844'],27.797C,祼,b'\xe7\xa5\xbc',屮、｛︷,示果
46,['37849'],27.E00C,,b'\xee\x80\x8c',,人戈金
47,['1802'],27.795D,祝,b'\xe7\xa5\x9d',祝 = 人口、,儿口示
48,['37815'],27.E00D,,b'\xee\x80\x8d',,
49,['6951'],27.7953,祓,b'\xe7\xa5\x93',犬、§,示犮
50,['1391'],27.7948,祈,b'\xe7\xa5\x88',斤、,斤示
51,['4941'],27.79B1,禱,b'\xe7\xa6\xb1',人人毛、,一工土寸口示
51,['4941'],27.E00E,,b'\xee\x80\x8e', = 一一一一十人入入土囗屮｛≠,立里金
51,['37897'],27.F118,,b'\xef\x84\x98',,十儿工工己示
52,['10063'],27.799C,禜,b'\xe7\xa6\x9c',一屮火火火、｛〈,火火示
53,['5245'],27.79B3,禳,b'\xe7\xa6\xb3',工口口爻衣、Σ,一人口口示
54,['11556'],27.79AC,禬,b'\xe7\xa6\xac',一入八口、♀,一人小囗日示
55,['4563'],27.79AA,禪,b'\xe7\xa6\xaa',口口、,口口示
56,['4285'],27.79A6,禦,b'\xe7\xa6\xa6',禦 = 彳止午、,彳示缶
57,['37720'],27.E00F,,b'\xee\x80\x8f',一入土囗止止⊙≠,豆金
58,['9480'],27.7996,禖,b'\xe7\xa6\x96',禖 = 一口屮、｛,木示甘
59,['37806'],27.E010,,b'\xee\x80\x90',,
60,['8184'],27.7973,祳,b'\xe7\xa5\xb3',一一乙厂人、,示辰
61,['8183'],27.7974,祴,b'\xe7\xa5\xb4',又、﹍﹌,廾戈示
62,['10061'],27.79A1,禡,b'\xe7\xa6\xa1',馬、,示馬
63,['8845'],27.7982,禂,b'\xe7\xa6\x82',卜口口、,土口示
63,['57625'],27.E011,,b'\xee\x80\x91',,
64,['1037'],27.793E,社,b'\xe7\xa4\xbe',土、,土示
64,['1037'],27.E012,,b'\xee\x80\x92',,
65,['9483'],27.7993,禓,b'\xe7\xa6\x93',禓 = 一一囗勿、,一一一日示
66,['8185'],27.7972,祲,b'\xe7\xa5\xb2',一人又又、〈「,又又示
67,['3572'],27.798D,禍,b'\xe7\xa6\x8d',口、,口示
68,['1799'],27.795F,祟,b'\xe7\xa5\x9f',出、,凵屮示
68,['37889'],27.E013,,b'\xee\x80\x93',,
69,['6493'],27.E014,,b'\xee\x80\x94',,
70,['37692'],27.F0F2,,b'\xef\x83\xb2',、、,示示
71,['3161'],27.7981,禁,b'\xe7\xa6\x81',禁 = 屮屮、｛｛,木木示
72,['11131'],27.79AB,禫,b'\xe7\xa6\xab',禫 = 一口囗戊西、／＿↘,十日示襾
73,['11906'],27.79B0,禰,b'\xe7\xa6\xb0',一入爻爻、。〈,示爾
74,['7534'],27.7967,祧,b'\xe7\xa5\xa7',兆、,儿示
75,['1389'],27.7946,祆,b'\xe7\xa5\x86',一大、,一大示
76,['1804'],27.795A,祚,b'\xe7\xa5\x9a',一入、,示乍
77,['21'],27.4E09,三,b'\xe4\xb8\x89',三,一二
77,['23804'],27.E015,,b'\xee\x80\x95',,
78,['156'],27.738B,王,b'\xe7\x8e\x8b',王,玉
78,['156'],27.E016,,b'\xee\x80\x96',,日丘艸金
79,['2887'],27.958F,閏,b'\xe9\x96\x8f',王戶戶,玉門
80,['1370'],27.7687,皇,b'\xe7\x9a\x87',王自,玉白
81,['261'],27.7389,玉,b'\xe7\x8e\x89',玉,玉
81,['261'],27.F27D,,b'\xef\x89\xbd',,
82,['28922'],27.E017,,b'\xee\x80\x97',,
83,['12609'],27.74D8,瓘,b'\xe7\x93\x98',口口玉隹,口口玉艸隹
84,['11099'],27.74A5,璥,b'\xe7\x92\xa5',卜又口玉包﹗,口玉艸
85,['8142'],27.7420,琠,b'\xe7\x90\xa0',丌玉冊,儿玉
86,['29016'],27.E018,,b'\xee\x80\x98',,
87,['60788'],27.E019,,b'\xee\x80\x99',,
