楷書編號(網址),小篆編號,筆畫
1,1,1
19897,230,1
19998,1895,1
19983,3165,1
19996,7438,1
20001,7661,1
19919,8316,1
19984,8319,1
20142,8320,1
20000,8322,1
19898,8360,1
19997,8361,1
19995,8366,1
2,9691,1
24,6,2
24,6,2
22,9,2
22,9,2
12,707,2
5404,969,2
20003,1454,2
18,1459,2
20,1893,2
19787,1921,2
21471,1968,2
19,2064,2
19,2064,2
6382,2540,2
6382,2540,2
14,2730,2
5,3032,2
5,3032,2
5,3032,2
19788,3035,2
19799,3038,2
21789,3146,2
11,3262,2
20458,3305,2
20009,4322,2
21743,4773,2
9,4924,2
21387,5187,2
17,5191,2
10,5428,2
21830,5746,2
21327,5769,2
22438,5812,2
5406,5945,2
20008,7439,2
20504,7468,2
5402,8317,2
20313,8373,2
5405,8380,2
5405,8380,2
8,8966,2
16,9163,2
13,9418,2
19920,9676,2
4,9678,2
6,9679,2
3,9696,2
7,9730,2
24,6,3
24,6,3
22,9,3
22,9,3
21,77,3
41,226,3
5413,233,3
49,704,3
39,779,3
19900,1075,3
5414,1222,3
5410,1258,3
22638,1259,3
59,1440,3
23,1460,3
37,1461,3
60,1746,3
60,1746,3
38,1896,3
19787,1921,3
48,1971,3
28577,2486,3
35,2798,3
5408,3003,3
54,3012,3
54,3012,3
32,3050,3
20493,3251,3
20458,3305,3
26670,3344,3
26669,3384,3
19794,3389,3
28,3390,3
63,3838,3
5409,3862,3
5411,3888,3
42,4306,3
27023,4532,3
20459,4777,3
58,4830,3
51,5374,3
34,5429,3
26535,5681,3
21830,5746,3
19793,5758,3
52,5817,3
26720,5890,3
26,5972,3
27348,6072,3
155,6267,3
43,6562,3
50,6593,3
126,6668,3
147,6946,3
53,7441,3
20013,7659,3
129,7787,3
129,7787,3
44,8067,3
61,8321,3
30,8323,3
33,8368,3
62,8434,3
27,8971,3
40,8972,3
36,9416,3
1095,9568,3
1095,9568,3
55,9699,3
55,9699,3
45,9715,3
45,9715,3
45,9715,3
46,9731,3
47,9732,3
22440,9736,3
57,9746,3
23801,1,4
87,2,4
112,3,4
280,10,4
280,10,4
156,78,4
156,78,4
5435,224,4
67,231,4
67,231,4
67,231,4
120,234,4
5569,240,4
117,705,4
5430,706,4
95,708,4
85,714,4
21251,715,4
92,716,4
154,727,4
141,1063,4
19900,1075,4
50635,1091,4
153,1322,4
153,1322,4
20084,1465,4
123,1466,4
105,1468,4
60,1746,4
60,1746,4
22522,1763,4
149,1870,4
34704,1873,4
5418,1874,4
22443,1895,4
22515,1897,4
150,1898,4
5429,1903,4
71,1904,4
71,1904,4
109,1908,4
109,1908,4
109,1908,4
110,1910,4
110,1910,4
22513,1911,4
22518,1915,4
108,1919,4
108,1919,4
131,1925,4
131,1925,4
5433,1946,4
31257,1985,4
151,2077,4
72,2498,4
122,2500,4
142,2518,4
142,2518,4
432,2582,4
96,2746,4
21862,2763,4
21863,2799,4
19901,2804,4
75,2944,4
228,3015,4
228,3015,4
137,3025,4
91,3044,4
69,3168,4
69,3168,4
74,3173,4
84,3255,4
89,3263,4
20503,3267,4
5423,3307,4
5428,3388,4
139,3394,4
30005,3783,4
30005,3783,4
70,3841,4
25168,3843,4
68,3857,4
136,4168,4
138,4289,4
5434,4319,4
20032,4326,4
152,4337,4
94,4503,4
29043,4505,4
22514,4595,4
20460,4781,4
5431,4901,4
78,4927,4
83,5023,4
79,5043,4
81,5129,4
82,5146,4
124,5159,4
101,5190,4
21388,5193,4
5425,5197,4
20505,5200,4
144,5203,4
144,5203,4
22693,5214,4
145,5359,4
119,5398,4
135,5426,4
88,5431,4
21417,5436,4
140,5495,4
5432,5567,4
5415,5670,4
132,5693,4
107,5752,4
21834,5757,4
21833,5764,4
98,5774,4
5424,5775,4
86,5967,4
86,5967,4
20144,5971,4
20399,5979,4
100,6040,4
178,6042,4
155,6267,4
148,6380,4
23541,6582,4
115,6586,4
50,6593,4
77,6618,4
21532,6631,4
113,6639,4
5503,6663,4
5503,6663,4
126,6668,4
147,6946,4
114,7388,4
28613,7448,4
374,7450,4
374,7450,4
20504,7468,4
180,7476,4
180,7476,4
73,7536,4
116,7662,4
66,7664,4
128,7680,4
129,7787,4
129,7787,4
143,8312,4
97,8317,4
146,8324,4
127,8330,4
163,8369,4
29027,8371,4
102,8379,4
125,8448,4
422,8471,4
422,8471,4
180,8544,4
5417,9417,4
134,9425,4
133,9440,4
104,9456,4
76,9676,4
90,9677,4
5472,9681,4
118,9694,4
55,9699,4
55,9699,4
121,9702,4
111,9713,4
64,9739,4
103,9748,4
159,4,5
280,10,5
280,10,5
4780,12,5
4780,12,5
156,78,5
156,78,5
261,81,5
261,81,5
193,629,5
5454,709,5
238,717,5
719,719,5
719,719,5
192,724,5
202,841,5
214,867,5
201,873,5
23912,903,5
213,906,5
209,923,5
23908,958,5
41373,1077,5
251,1086,5
251,1086,5
251,1086,5
164,1087,5
272,1417,5
179,1428,5
179,1428,5
22654,1441,5
211,1445,5
215,1450,5
200,1457,5
158,1469,5
20522,1519,5
20148,1881,5
110,1910,5
110,1910,5
22525,1912,5
212,1923,5
45380,1927,5
21481,1969,5
274,1978,5
274,1978,5
274,1978,5
20401,2066,5
195,2069,5
266,2072,5
266,2072,5
276,2086,5
276,2086,5
45406,2314,5
234,2487,5
260,2495,5
260,2495,5
142,2518,5
142,2518,5
5473,2604,5
5445,2747,5
5494,2749,5
184,2759,5
230,3010,5
229,3014,5
228,3015,5
228,3015,5
264,3020,5
5,3032,5
5,3032,5
5,3032,5
199,3039,5
208,3043,5
165,3047,5
23907,3048,5
233,3054,5
233,3054,5
275,3120,5
198,3147,5
162,3166,5
69,3168,5
69,3168,5
74,3173,5
205,3233,5
25519,3264,5
20512,3266,5
278,3290,5
20468,3305,5
231,3306,5
221,3308,5
578,3382,5
578,3382,5
247,3542,5
247,3542,5
249,3547,5
250,3749,5
182,3845,5
20036,3850,5
19936,3854,5
265,3856,5
68,3857,5
39535,3868,5
345,3894,5
345,3894,5
25019,3905,5
219,3908,5
25529,4005,5
50090,4142,5
245,4254,5
5450,4309,5
220,4312,5
220,4312,5
281,4351,5
246,4370,5
262,4523,5
27025,4567,5
5453,4595,5
282,4610,5
40231,4671,5
1046,4789,5
1046,4789,5
25173,4858,5
232,4886,5
273,4905,5
273,4905,5
506,4926,5
27398,4927,5
175,4929,5
169,4930,5
5440,4971,5
