小篆編號,楷書編號,字體編號,楷書字體編號,楷書字型
1,1,27.4E00,0.4E00,一
1,23801,27.E000,1.EFB2,弌
2,87,27.5143,0.5143,元
3,112,27.5929,0.5929,天
4,159,27.4E15,0.4E15,丕
5,330,27.540F,0.540F,吏
6,24,27.F3F2,0.4E0A,上
6,24,27.4E0A,0.4E0A,上
7,1212,27.5E1D,0.5E1D,帝
7,1212,27.E001,0.5E1D,帝
8,1672,27.65C1,0.65C1,旁
8,1672,27.E002,0.65C1,旁
8,1672,27.E003,0.65C1,旁
8,8454,27.96F1,0.96F1,雱
9,22,27.F407,0.4E0B,下
9,22,27.4E0B,0.4E0B,下
10,280,27.793A,0.793A,示
10,280,27.F368,0.793A,示
11,6950,27.795C,0.795C,祜
12,4780,27.79AE,0.79AE,禮
12,4780,27.E004,0.79AE,禮
13,4562,27.79A7,0.79A7,禧
14,10065,27.799B,0.799B,禛
15,3160,27.797F,0.797F,祿
16,10062,27.79A0,0.79A0,禠
17,3570,27.798E,0.798E,禎
18,2288,27.7965,0.7965,祥
19,1390,27.7949,0.7949,祉
20,3571,27.798F,0.798F,福
21,1797,27.7950,0.7950,祐
22,3159,27.797A,0.797A,祺
22,37841,27.E005,3.F5F8,禥
23,1803,27.7957,0.7957,祗
24,9482,27.7994,0.7994,禔
25,1801,27.795E,0.795E,神
26,1392,27.7947,0.7947,祇
27,1796,27.7955,0.7955,祕
28,4725,27.9F4B,0.9F4B,齋
28,61427,27.E006,7.F0F6,𪗓
29,9479,27.798B,0.798B,禋
29,65171,27.E007,8.E74D,
30,2290,27.796D,0.796D,祭
31,1038,27.7940,0.7940,祀
31,37842,27.E008,3.F5F9,禩
32,7539,27.7961,0.7961,祡
32,37786,27.E009,3.F5C1,𥚨
33,12865,27.79B7,0.79B7,禷
34,7536,27.796A,0.796A,祪
35,6947,27.7954,0.7954,祔
36,1800,27.7956,0.7956,祖
37,37844,27.E00A,3.F5FB,𥛱
37,6490,27.794A,0.794A,祊
38,8186,27.7970,0.7970,祰
39,6949,27.794F,0.794F,祏
40,37679,27.E00B,3.F556,䃾
41,1798,27.7960,0.7960,祠
42,6095,27.793F,0.793F,礿
43,9477,27.7998,0.7998,禘
44,7538,27.796B,0.796B,祫
45,8844,27.797C,0.797C,祼
46,37849,27.E00C,3.F600,䄟
47,1802,27.795D,0.795D,祝
48,37815,27.E00D,3.F5DE,𥛅
49,6951,27.7953,0.7953,祓
50,1391,27.7948,0.7948,祈
51,4941,27.79B1,0.79B1,禱
51,4941,27.E00E,0.79B1,禱
51,37897,27.F118,0.F118,𥜹
52,10063,27.799C,0.799C,禜
53,5245,27.79B3,0.79B3,禳
54,11556,27.79AC,0.79AC,禬
55,4563,27.79AA,0.79AA,禪
56,4285,27.79A6,0.79A6,禦
57,37720,27.E00F,3.F57F,䄆
58,9480,27.7996,0.7996,禖
59,37806,27.E010,3.F5D5,𥚩
60,8184,27.7973,0.7973,祳
61,8183,27.7974,0.7974,祴
62,10061,27.79A1,0.79A1,禡
63,8845,27.7982,0.7982,禂
63,57625,27.E011,7.E21C,𩦑
64,1037,27.793E,0.793E,社
64,1037,27.E012,0.793E,社
65,9483,27.7993,0.7993,禓
66,8185,27.7972,0.7972,祲
67,3572,27.798D,0.798D,禍
68,1799,27.795F,0.795F,祟
68,37889,27.E013,3.F628,𥜱
69,6493,27.E014,0.7945,祅
70,37692,27.F0F2,0.F0F2,祘
71,3161,27.7981,0.7981,禁
72,11131,27.79AB,0.79AB,禫
73,11906,27.79B0,0.79B0,禰
74,7534,27.7967,0.7967,祧
75,1389,27.7946,0.7946,祆
76,1804,27.795A,0.795A,祚
77,21,27.4E09,0.4E09,三
77,23804,27.E015,1.EFB5,弎
78,156,27.738B,0.738B,王
78,156,27.E016,0.738B,王
79,2887,27.958F,0.958F,閏
80,1370,27.7687,0.7687,皇
81,261,27.7389,0.7389,玉
81,261,27.F27D,0.7389,玉
82,28922,27.E017,2.EB6A,璙
83,12609,27.74D8,0.74D8,瓘
84,11099,27.74A5,0.74A5,璥
85,8142,27.7420,0.7420,琠
86,29016,27.E018,2.EBC8,𤫕
87,60788,27.E019,7.EE77,𤪢
88,10619,27.74A0,0.74A0,璠
89,11527,27.74B5,0.74B5,璵
90,3926,27.747E,0.747E,瑾
91,3122,27.745C,0.745C,瑜
92,5760,27.7392,0.7392,玒
93,28822,27.E01A,2.EB06,𤦃
94,4933,27.74CA,0.74CA,瓊
94,10618,27.749A,0.749A,璚
94,12612,27.74D7,0.74D7,瓗
94,7490,27.7401,0.7401,琁
95,28740,27.E01B,2.EAB4,珦
96,28831,27.E01C,2.EB0F,㻝
97,6894,27.73E3,0.73E3,珣
98,11095,27.7490,0.7490,璐
99,5292,27.74DA,0.74DA,瓚
100,3121,27.745B,0.745B,瑛
101,28930,27.E01D,2.EB72,璑
102,6898,27.73DB,0.73DB,珛
103,4770,27.74BF,0.74BF,璿
103,28926,27.E01E,2.EB6E,𤩅
103,10422,28.53E1,0.53E1,叡
104,2256,27.7403,0.7403,球
104,10022,27.7486,0.7486,璆
105,2695,27.7433,0.7433,琳
106,4769,27.74A7,0.74A7,璧
107,8783,27.7457,0.7457,瑗
108,4543,27.74B0,0.74B0,環
109,4264,27.749C,0.749C,璜
110,8129,27.742E,0.742E,琮
111,2697,27.7425,0.7425,琥
112,5071,27.74CF,0.74CF,瓏
113,8130,27.742C,0.742C,琬
114,3924,27.748B,0.748B,璋
115,8131,27.7430,0.7430,琰
116,6073,27.73A0,0.73A0,玠
117,8781,27.7452,0.7452,瑒
118,12861,27.74DB,0.74DB,瓛
119,7491,27.73FD,0.73FD,珽
120,3118,27.7441,0.7441,瑁
120,28706,27.E01F,2.EA92,㺺
121,28960,27.E020,2.EB90,璬
122,6895,27.73E9,0.73E9,珩
123,6071,27.73A6,0.73A6,玦
124,3117,27.745E,0.745E,瑞
125,6890,27.73E5,0.73E5,珥
126,9437,27.7471,0.7471,瑱
126,41718,27.E021,4.ECD4,𦗁
127,8132,27.742B,0.742B,琫
128,6445,27.73CC,0.73CC,珌
129,28943,27.E022,2.EB7F,璏
130,9438,27.7475,0.7475,瑵
131,8782,27.7451,0.7451,瑑
132,6455,27.73C7,0.73C7,珇
133,28972,27.E023,2.EB9C,𤪌
133,28884,27.E024,2.EB44,璂
134,11096,27.74AA,0.74AA,璪
135,28880,27.E025,2.EB40,瑬
136,28971,27.E026,2.EB9B,璹
137,11893,27.74C3,0.74C3,瓃
138,9436,27.7473,0.7473,瑳
139,6892,27.73BC,0.73BC,玼
140,11098,27.74B1,0.74B1,璱
