字體編號,楷書字體編號,楷書字型
27.4E00,0.4E00,一
27.E000,1.EFB2,弌
27.5143,0.5143,元
27.5929,0.5929,天
27.4E15,0.4E15,丕
27.540F,0.540F,吏
27.F3F2,0.4E0A,上
27.4E0A,0.4E0A,上
27.5E1D,0.5E1D,帝
27.E001,0.5E1D,帝
27.65C1,0.65C1,旁
27.E002,0.65C1,旁
27.E003,0.65C1,旁
27.96F1,0.96F1,雱
27.F407,0.4E0B,下
27.4E0B,0.4E0B,下
27.793A,0.793A,示
27.F368,0.793A,示
27.795C,0.795C,祜
27.79AE,0.79AE,禮
27.E004,0.79AE,禮
27.79A7,0.79A7,禧
27.799B,0.799B,禛
27.797F,0.797F,祿
27.79A0,0.79A0,禠
27.798E,0.798E,禎
27.7965,0.7965,祥
27.7949,0.7949,祉
27.798F,0.798F,福
27.7950,0.7950,祐
27.797A,0.797A,祺
27.E005,3.F5F8,禥
27.7957,0.7957,祗
27.7994,0.7994,禔
27.795E,0.795E,神
27.7947,0.7947,祇
27.7955,0.7955,祕
27.9F4B,0.9F4B,齋
27.E006,7.F0F6,𪗓
27.798B,0.798B,禋
27.E007,8.E74D,
27.796D,0.796D,祭
27.7940,0.7940,祀
27.E008,3.F5F9,禩
27.7961,0.7961,祡
27.E009,3.F5C1,𥚨
27.79B7,0.79B7,禷
27.796A,0.796A,祪
27.7954,0.7954,祔
27.7956,0.7956,祖
27.E00A,3.F5FB,𥛱
27.794A,0.794A,祊
27.7970,0.7970,祰
27.794F,0.794F,祏
27.E00B,3.F556,䃾
27.7960,0.7960,祠
27.793F,0.793F,礿
27.7998,0.7998,禘
27.796B,0.796B,祫
27.797C,0.797C,祼
27.E00C,3.F600,䄟
27.795D,0.795D,祝
27.E00D,3.F5DE,𥛅
27.7953,0.7953,祓
27.7948,0.7948,祈
27.79B1,0.79B1,禱
27.E00E,0.79B1,禱
27.F118,0.F118,𥜹
27.799C,0.799C,禜
27.79B3,0.79B3,禳
27.79AC,0.79AC,禬
27.79AA,0.79AA,禪
27.79A6,0.79A6,禦
27.E00F,3.F57F,䄆
27.7996,0.7996,禖
27.E010,3.F5D5,𥚩
27.7973,0.7973,祳
27.7974,0.7974,祴
27.79A1,0.79A1,禡
27.7982,0.7982,禂
27.E011,7.E21C,𩦑
27.793E,0.793E,社
27.E012,0.793E,社
27.7993,0.7993,禓
27.7972,0.7972,祲
27.798D,0.798D,禍
27.795F,0.795F,祟
27.E013,3.F628,𥜱
27.E014,0.7945,祅
27.F0F2,0.F0F2,祘
27.7981,0.7981,禁
27.79AB,0.79AB,禫
27.79B0,0.79B0,禰
27.7967,0.7967,祧
27.7946,0.7946,祆
27.795A,0.795A,祚
27.4E09,0.4E09,三
27.E015,1.EFB5,弎
27.738B,0.738B,王
27.E016,0.738B,王
27.958F,0.958F,閏
27.7687,0.7687,皇
27.7389,0.7389,玉
27.F27D,0.7389,玉
27.E017,2.EB6A,璙
27.74D8,0.74D8,瓘
27.74A5,0.74A5,璥
27.7420,0.7420,琠
27.E018,2.EBC8,𤫕
27.E019,7.EE77,𤪢
27.74A0,0.74A0,璠
27.74B5,0.74B5,璵
27.747E,0.747E,瑾
27.745C,0.745C,瑜
27.7392,0.7392,玒
27.E01A,2.EB06,𤦃
27.74CA,0.74CA,瓊
27.749A,0.749A,璚
27.74D7,0.74D7,瓗
27.7401,0.7401,琁
27.E01B,2.EAB4,珦
27.E01C,2.EB0F,㻝
27.73E3,0.73E3,珣
27.7490,0.7490,璐
27.74DA,0.74DA,瓚
27.745B,0.745B,瑛
27.E01D,2.EB72,璑
27.73DB,0.73DB,珛
27.74BF,0.74BF,璿
27.E01E,2.EB6E,𤩅
